Концентрация: 13
Уровень: 45 | Надо Гидронол В20: 5.63 Л Вода ДИ: 14.47 Л
Уровень: 46 | Надо Гидронол В20: 5.54 Л Вода ДИ: 13.89 Л
Уровень: 47 | Надо Гидронол В20: 5.46 Л Вода ДИ: 13.3 Л
Уровень: 48 | Надо Гидронол В20: 5.37 Л Вода ДИ: 12.72 Л
Уровень: 49 | Надо Гидронол В20: 5.28 Л Вода ДИ: 12.14 Л
Уровень: 50 | Надо Гидронол В20: 5.2 Л Вода ДИ: 11.56 Л
Уровень: 51 | Надо Гидронол В20: 5.11 Л Вода ДИ: 10.97 Л
Уровень: 52 | Надо Гидронол В20: 5.02 Л Вода ДИ: 10.39 Л
Уровень: 53 | Надо Гидронол В20: 4.93 Л Вода ДИ: 9.81 Л
Уровень: 54 | Надо Гидронол В20: 4.85 Л Вода ДИ: 9.22 Л
Уровень: 55 | Надо Гидронол В20: 4.76 Л Вода ДИ: 8.64 Л
Уровень: 56 | Надо Гидронол В20: 4.67 Л Вода ДИ: 8.06 Л
Уровень: 57 | Надо Гидронол В20: 4.59 Л Вода ДИ: 7.47 Л
Уровень: 58 | Надо Гидронол В20: 4.5 Л Вода ДИ: 6.89 Л
Уровень: 59 | Надо Гидронол В20: 4.41 Л Вода ДИ: 6.31 Л
Уровень: 60 | Надо Гидронол В20: 4.32 Л Вода ДИ: 5.73 Л
Уровень: 61 | Надо Гидронол В20: 4.24 Л Вода ДИ: 5.14 Л
Уровень: 62 | Надо Гидронол В20: 4.15 Л Вода ДИ: 4.56 Л
Уровень: 63 | Надо Гидронол В20: 4.06 Л Вода ДИ: 3.98 Л
Уровень: 64 | Надо Гидронол В20: 3.98 Л Вода ДИ: 3.39 Л
Уровень: 65 | Надо Гидронол В20: 3.89 Л Вода ДИ: 2.81 Л
Уровень: 66 | Надо Гидронол В20: 3.8 Л Вода ДИ: 2.23 Л
Уровень: 67 | Надо Гидронол В20: 3.71 Л Вода ДИ: 1.65 Л
Уровень: 68 | Надо Гидронол В20: 3.63 Л Вода ДИ: 1.06 Л
Уровень: 69 | Надо Гидронол В20: 3.54 Л Вода ДИ: 0.48 Л
Уровень: 70 | Надо Гидронол В20: 3.45 Л Вода ДИ: -0.1 Л
Уровень: 71 | Надо Гидронол В20: 3.37 Л Вода ДИ: -0.69 Л
Уровень: 72 | Надо Гидронол В20: 3.28 Л Вода ДИ: -1.27 Л
Уровень: 73 | Надо Гидронол В20: 3.19 Л Вода ДИ: -1.85 Л
Уровень: 74 | Надо Гидронол В20: 3.1 Л Вода ДИ: -2.43 Л
Концентрация: 14
Уровень: 45 | Надо Гидронол В20: 5.33 Л Вода ДИ: 14.77 Л
Уровень: 46 | Надо Гидронол В20: 5.24 Л Вода ДИ: 14.19 Л
Уровень: 47 | Надо Гидронол В20: 5.14 Л Вода ДИ: 13.62 Л
Уровень: 48 | Надо Гидронол В20: 5.05 Л Вода ДИ: 13.04 Л
Уровень: 49 | Надо Гидронол В20: 4.95 Л Вода ДИ: 12.47 Л
Уровень: 50 | Надо Гидронол В20: 4.86 Л Вода ДИ: 11.89 Л
Уровень: 51 | Надо Гидронол В20: 4.77 Л Вода ДИ: 11.31 Л
Уровень: 52 | Надо Гидронол В20: 4.67 Л Вода ДИ: 10.74 Л
Уровень: 53 | Надо Гидронол В20: 4.58 Л Вода ДИ: 10.16 Л
Уровень: 54 | Надо Гидронол В20: 4.48 Л Вода ДИ: 9.59 Л
Уровень: 55 | Надо Гидронол В20: 4.39 Л Вода ДИ: 9.01 Л
Уровень: 56 | Надо Гидронол В20: 4.3 Л Вода ДИ: 8.43 Л
Уровень: 57 | Надо Гидронол В20: 4.2 Л Вода ДИ: 7.86 Л
Уровень: 58 | Надо Гидронол В20: 4.11 Л Вода ДИ: 7.28 Л
Уровень: 59 | Надо Гидронол В20: 4.02 Л Вода ДИ: 6.7 Л
Уровень: 60 | Надо Гидронол В20: 3.92 Л Вода ДИ: 6.13 Л
Уровень: 61 | Надо Гидронол В20: 3.83 Л Вода ДИ: 5.55 Л
Уровень: 62 | Надо Гидронол В20: 3.73 Л Вода ДИ: 4.98 Л
Уровень: 63 | Надо Гидронол В20: 3.64 Л Вода ДИ: 4.4 Л
